verb,3rd sg perf act ind,3rd pl perf act ind,3rd sg perf pass ind,3rd pl pass ind
interficio/interficĕre/interfeci/interfectus,interfecit,interfecerunt,infecta est,interfectae sunt
mitto/mittĕre/misi/missus,misit,miserunt,mitta est,mittae sunt
amitto/amittĕre/amisi/amissus,amisit,amiserunt,amissa est,amissae sunt
audio/audire/audivi/auditus,audivit,audiverunt,audita est,auditae sunt
moneo/monere/monui/monitus,monuit,monuerunt,monita est,monitae sunt
emitto/emittĕre/emisi/emissus,emisit,emiserunt,emissa est,emissae sunt
neco/necare/necavi/necatus,necavit,necaverunt,necata est,necata sunt
occido/occidĕre/occidi/occisus,occidit,occiderunt,occisa est,occisae sunt
peto/petĕre/petivi/petitus,petivit,petiverunt,petita est,petitae sunt
video/videre/vidi/visus,vidit,viderunt,visa est,visae sunt
venio/venire/veni/ventus,venit,venerunt,venta est,ventae sunt
